,productId,productName,priceOriginal,priceSale,productLink,imageLink,company,gender,description
34,904603002,Короткое платье из клоке,8 999 Pуб,8 999 Pуб,https://www2.hm.com/ru_ru/productpage.0904603002.html,"https://lp2.hm.com/hmgoepprod?set=source[/ce/63/ce63dce794b54f1e8ec65a95b24ebe6d52c7fea4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Simone Rocha x H&M. Короткое платье из плотной ткани клоке с добавлением шелка. Лиф прямого кроя, сзади потайная молния и потайная застежка на крючки на шее сзади. Отрезная талия на сборке и сильно расклешенная юбка с объемными передними карманами, а также тремя слоями тюля. Полностью на подкладке из мягкого сатина."
35,972824002,Хлопковое платье,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0972824002.html,"https://lp2.hm.com/hmgoepprod?set=source[/bf/52/bf52d1e224087e363a56d3ae8ddede9b025b81e7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопковой ткани. V-образный вырез горловины с декоративным узлом спереди и сзади. Потайная молния сбоку, короткие рукава-фонарики на узкой резинке снизу, отрезная талия на узкой резинке сзади, а также слегка расклешенная юбка. Без подкладки."
36,991392003,Платье из смесового лиоцелла,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0991392003.html,"https://lp2.hm.com/hmgoepprod?set=source[/cd/64/cd64bc5963f31a9083e735acfb9571ea8995a676.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье-трапеция длиной до колена из воздушного смесового лиоцелла с треугольным вырезом, глубоким вырезом с перемычкой на спине, на узких эластичных бретелях. Без подкладки."
37,942075012,Платье-рубашка с поясом,1 899 Pуб,1 899 Pуб,https://www2.hm.com/ru_ru/productpage.0942075012.html,"https://lp2.hm.com/hmgoepprod?set=source[/91/7e/917ed52cd8a0002436c8ac6c28a954f3c4f83802.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",HM,Women,"Платье длиной до икр из вискозной ткани. Воротник и треугольный вырез спереди, а также короткие рукава. Отрезная талия с поясом и потайной резинкой на спине. Расклешенная юбка со скругленным низом подола. Без подкладки."
38,963394001,Длинное шелковое платье,8 999 Pуб,8 999 Pуб,https://www2.hm.com/ru_ru/productpage.0963394001.html,"https://lp2.hm.com/hmgoepprod?set=source[/6f/d9/6fd9e9252c8af24ab53ce9c232ee163fd18fb69f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,Платье макси без рукавов из мягко струящегося шелкового крепа с круглым вырезом горловины и потайной молнией сзади. Узкий крой сверху с продольными швами по полочке и спинке. Вискозная подкладка.
39,982109008,Платье длиной до колена,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0982109008.html,"https://lp2.hm.com/hmgoepprod?set=source[/8b/c7/8bc70992379523e540062a892ae4f99c4c5931f8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,Платье длиной до колена из ткани с легким блеском. Треугольный вырез и заложенная спереди складка для эффекта драпировки. Короткие рукава. Без подкладки.
40,990496002,Широкое платье,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0990496002.html,"https://lp2.hm.com/hmgoepprod?set=source[/12/40/1240ad829c3208b3ee03d9d7ce50562ff345230f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икр из смесовой вискозной ткани с легким блеском. Отложной воротник, глубокий v-образный вырез горловины со складкой спереди для дополнительной ширины, плавно заниженная линия плеча, длинный пышный рукав с широким манжетом на обтянутых пуговицах. Прямой крой подола снизу с разрезом с каждой стороны."
41,974358001,Платье из шифона,1 899 Pуб,1 899 Pуб,https://www2.hm.com/ru_ru/productpage.0974358001.html,"https://lp2.hm.com/hmgoepprod?set=source[/56/bc/56bcf9afb903e86e81026f3e59932139d3a467d7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Длинное платье из шифона с набивным рисунком. Бретели с оборкой и v-образный вырез спереди. На спинке вставка на сборке мелкими буфами и вырез, отрезная талия, а также шов на подоле для дополнительной ширины. Высокий вырез спереди. Лиф на подкладке."
42,985752003,Платье с открытыми плечами,1 899 Pуб,1 899 Pуб,https://www2.hm.com/ru_ru/productpage.0985752003.html,"https://lp2.hm.com/hmgoepprod?set=source[/81/b0/81b00ad2cace7b1b84bfe63c374e11348a27a6eb.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,Короткое платье из ткани из смеси льна и хлопка. Открытые плечи и широкая оборка на резинке сверху. Короткие присборенные рукава с узкой резинкой снизу. Отрезная талия. Потайная молния с одной стороны. Без подкладки.
43,975991002,Атласное платье,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0975991002.html,"https://lp2.hm.com/hmgoepprod?set=source[/56/66/5666e358b591f8cd3df4e2923a569791ff325270.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Атласное платье без рукавов длиной до икр. Сверху узкий крой и короткие бретели. Сзади небольшой разрез на потайной пуговице на шее, а также разрез. Частично на подкладке."
44,929268009,Платье-футболка с принтом,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0929268009.html,"https://lp2.hm.com/hmgoepprod?set=source[/88/a0/88a0e65137e050b735864c845e412ff12faa5c09.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,Короткое платье-футболка из мягкого хлопкового трикотажа с принтом спереди. Заниженная линия плеча и круглый вырез горловины с рельефной трикотажной окантовкой по краю. Без подкладки.
45,980566006,Платье-кафтан с вырезом,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0980566006.html,"https://lp2.hm.com/hmgoepprod?set=source[/f1/f4/f1f4b5556b917f2c00a4328aa0d0b4cc409c099f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье-кафтан длиной до икры из тканого материала. Глубокий треугольный вырез горловины со складкой спереди для дополнительного объема, короткие рукава и прямой кроя снизу. Без подкладки."
46,991391002,Платье с бахромой,3 499 Pуб,3 499 Pуб,https://www2.hm.com/ru_ru/productpage.0991391002.html,"https://lp2.hm.com/hmgoepprod?set=source[/f2/6d/f26de07b888f69e9ee50ffad82753548c4fe4bd2.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое, довольно свободное платье с короткими широкими рукавами из рельефной ткани из смесового хлопка. Потайная молния с длинным бегунком сзади, потайные карманы в боковых швах, бахрома на рукавах и по низу. На подкладке."
47,980848001,Стеганое платье,3 999 Pуб,3 999 Pуб,https://www2.hm.com/ru_ru/productpage.0980848001.html,"https://lp2.hm.com/hmgoepprod?set=source[/8f/89/8f89c15ae34c7199ac49a08ee4f5d852ce670791.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопка со стеганым лифом и стегаными манжетами. Небольшой воротничок стойка, подчеркнутая линия плеч, объемные рукава и облегающие манжеты с обшитыми тканью пуговицами. Потайная молния на спине, отрезное по талии, юбка расклешенная. На подкладке."
48,988619003,Платье с поясом,2 999 Pуб,2 999 Pуб,https://www2.hm.com/ru_ru/productpage.0988619003.html,"https://lp2.hm.com/hmgoepprod?set=source[/cb/1f/cb1f871c8c063aee9fec52c8f60582ddadbd234d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопковой ткани с круглой горловиной и глубоким вырезом спереди с потайной застежкой на крючок и пуговицу сверху. Плавно заниженная линия плеча, длинный широкий рукав с узким манжетом на пуговице, отрезная талия с длинным завязывающимся поясом, а также летящая юбка клеш."
49,975991004,Атласное платье,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0975991004.html,"https://lp2.hm.com/hmgoepprod?set=source[/61/73/617306d972146e3b2b2e348edd91540229407408.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Атласное платье без рукавов длиной до икр. Сверху узкий крой и короткие бретели. Сзади небольшой разрез на потайной пуговице на шее, а также разрез. Частично на подкладке."
50,984367001,Платье рельефной вязки,1 899 Pуб,1 899 Pуб,https://www2.hm.com/ru_ru/productpage.0984367001.html,"https://lp2.hm.com/hmgoepprod?set=source[/96/e4/96e4bc5d36a083c1813b576ba0ab36a6c23ab611.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икр из мягкого и тонкого трикотажа из смесовой вискозы в рубчик. Прямой фасон с отложным воротником, v-образным вырезом спереди, заниженной линией плеча, коротким рукавом и разрезами по бокам снизу. Без подкладки."
51,949191003,Пляжное платье,2 299 Pуб,2 299 Pуб,https://www2.hm.com/ru_ru/productpage.0949191003.html,"https://lp2.hm.com/hmgoepprod?set=source[/4b/3e/4b3e02fd79fbec9328a59ec778429bb1c21fafbc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Пляжное платье без бретелей длиной до икр из воздушной ткани. Спереди запах, сверху узкая резинка и широкий волан."
52,980238008,Платье из смесового льна,1 599 Pуб,1 599 Pуб,https://www2.hm.com/ru_ru/productpage.0980238008.html,"https://lp2.hm.com/hmgoepprod?set=source[/97/e0/97e02eff1baf6c8bc9fa1703315f8d94a1a56370.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое облегающее платье из ткани из смеси льна с хлопком. Вырез горловины каре, двухслойные узкие регулируемые бретели, скрещивающиеся на спинке. Потайная молния сбоку. Подкладка из мягкой хлопковой вуали."
53,934606004,Платье-кафтан с вышивкой,3 499 Pуб,3 499 Pуб,https://www2.hm.com/ru_ru/productpage.0934606004.html,"https://lp2.hm.com/hmgoepprod?set=source[/2d/de/2ddef12a652b3fb8fa7ebf35b08b99fe84fe5e01.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Платье длиной до икры из воздушного хлопка с вышивкой. Круглый вырез горловины с треугольным вырезом и узкие, перекрученные завязки спереди. Отрезное по съемному поясу на талии, длинные пышные рукава реглан с узкими манжетами. Без подкладки."
54,958135003,Хлопковое платье-футболка,1 199 Pуб,1 199 Pуб,https://www2.hm.com/ru_ru/productpage.0958135003.html,"https://lp2.hm.com/hmgoepprod?set=source[/92/ef/92efb0451c6094c8cf5cb3153e24b645d5508a09.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из мягкого хлопкового трикотажа. Круглый вырез горловины, а также заниженная линия плеча и короткие рукава. Модель отрезная по сборке снизу."
55,988619001,Платье с поясом,2 999 Pуб,2 999 Pуб,https://www2.hm.com/ru_ru/productpage.0988619001.html,"https://lp2.hm.com/hmgoepprod?set=source[/01/a7/01a71694fe6f98bb5070108558c808e84887c550.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопковой ткани с круглой горловиной и глубоким вырезом спереди с потайной застежкой на крючок и пуговицу сверху. Плавно заниженная линия плеча, длинный широкий рукав с узким манжетом на пуговице, отрезная талия с длинным завязывающимся поясом, а также летящая юбка клеш."
56,988619002,Платье с поясом,2 999 Pуб,2 999 Pуб,https://www2.hm.com/ru_ru/productpage.0988619002.html,"https://lp2.hm.com/hmgoepprod?set=source[/9e/4b/9e4bd9008e388722b87f4431772dc5fc8d6c4c3c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,"Короткое платье из хлопковой ткани с круглой горловиной и глубоким вырезом спереди с потайной застежкой на крючок и пуговицу сверху. Плавно заниженная линия плеча, длинный широкий рукав с узким манжетом на пуговице, отрезная талия с длинным завязывающимся поясом, а также летящая юбка клеш."
57,917833002,Платье из смесового шелка,9 999 Pуб,9 999 Pуб,https://www2.hm.com/ru_ru/productpage.0917833002.html,"https://lp2.hm.com/hmgoepprod?set=source[/d4/ff/d4ff52cad06ac8a335504c77c9822ac793e20e92.jpg],origin[dam],category[ladies_dresses_mididresses],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",HM,Women,Платье длиной до икры из смесового шелка. Воротник-стойка и застежка спереди. Длинные рукава реглан с манжетами на застежке. Без подкладки.
